t,x,y,vx,vy
0.0,0.0,0.09999999999999998,-866.0609688521098,0.0
1e-06,-0.0008660552707378433,0.09999802617786879,-866.0438743153045,-3.947622183017804
2e-06,-0.001732076354786232,0.0999921049737833,-865.9925972949695,-7.894667831612686
3e-06,-0.0025980290778463704,0.09998223725240396,-865.9071562053557,-11.840560777914252
4e-06,-0.0034638792901634553,0.09996842445422645,-865.7875817162395,-15.784725579762481
4.9999999999999996e-06,-0.0043295928787678226,0.09995066859467502,-865.633916722116,-19.726587882257732
6e-06,-0.005195135779679158,0.09992897226283518,-865.4462162991532,-23.665574777750443
7e-06,-0.006060473990061583,0.0999033386198272,-865.2245476499934,-27.601115163756614
8e-06,-0.006925573580317505,0.09987377139682313,-864.968990036511,-31.532640098290532
9e-06,-0.007790400706108257,0.09984027489270984,-864.6796347006562,-35.459583152112735
9.999999999999999e-06,-0.008654921620289696,0.09980285397140169,-864.3565847735423,-39.38138075739909
1.1e-05,-0.00951910268475107,0.09976151405880637,-863.9999551729517,-43.29747255234597
1.2e-05,-0.010382910382145697,0.09971626113944854,-863.6098724894608,-47.207301721236675
1.3e-05,-0.011246311327502161,0.09966710175275569,-863.186474861405,-51.11031532950585
1.4e-05,-0.012109272279704989,0.0996140429890118,-862.729911838923,-55.005964653351015
1.4999999999999999e-05,-0.012971760152834032,0.09955709248498416,-862.2403442373435,-58.893705503454
1.6e-05,-0.013833742027352013,0.09949625841922966,-861.7179439801915,-62.77299854238967
1.7e-05,-0.014695185161130006,0.09943154950708694,-861.1628939321151,-66.64330959531486
1.8e-05,-0.015556057000300955,0.09936297499536145,-860.5753877220454,-70.50410995354687
1.8999999999999998e-05,-0.01641632518993158,0.09929054465671062,-859.9556295569216,-74.35487667065819
1.9999999999999998e-05,-0.017275957584503458,0.09921426878373679,-859.3038340263286,-78.19509285073201
2.1e-05,-0.01813492225819433,0.09913415818279593,-858.6202258984063,-82.02424792844204
2.2e-05,-0.01899318751495113,0.0990502241675306,-857.9050399074052,-85.8418379406393
