t,x,y,vx,vy
0.0,0.0,0.30000000000000004,-33444.17609866875,0.0
1e-06,-0.03344417609866875,0.2989033270122404,-33324.162615933914,-2173.214527136481
2e-06,-0.06664701581815916,0.2956458035972802,-32968.616892565144,-4298.4504039809835
3e-06,-0.09937931667506476,0.2902990565305333,-32395.4885029195,-6331.827271393309
4e-06,-0.1314352698067282,0.28297540519320624,-31632.02036646517,-8237.202395611052
4.9999999999999996e-06,-0.16264019680500463,0.27381868614809723,-30711.387002525327,-9988.242591599374
6e-06,-0.19285464443049496,0.2629938035991685,-29669.143373963132,-11568.956425752389
7e-06,-0.22197502467727662,0.2506765048012704,-28540.1207864452,-12972.921495927223
8e-06,-0.24993151136551808,0.23704448503051134,-27356.145515184402,-14201.658974717166
9e-06,-0.27668412782804386,0.22227041630759245,-26144.677261370693,-15262.640378720323
9.999999999999999e-06,-0.30221792827991034,0.20651703638473193,-24928.26017238872,-16167.315269773837
1.1e-05,-0.3265379920141258,0.18993411729335108,-23724.577943112898,-16929.40197354601
1.2e-05,-0.349664716504672,0.1726569678277487,-22546.888895496115,-17563.546873313342
1.3e-05,-0.37162968135929947,0.1548060792935243,-21404.651665779784,-18084.36026912867
1.4e-05,-0.3924721914374412,0.1364875532955664,-20304.205300701848,-18505.78178796528
1.4999999999999999e-05,-0.4122364993732351,0.11779401484107876,-19249.418886525076,-18840.706564492553
1.6e-05,-0.430969646457005,0.09880578682109104,-18242.26618357778,-19100.80246793195
1.7e-05,-0.44871983322281606,0.07959216830114565,-17283.30835615176,-19296.458122568514
1.8e-05,-0.4655352249009918,0.06021271294906559,-16372.084623502273,-19436.81443682388
1.8999999999999998e-05,-0.48146310269521897,0.0407184444317114,-15507.41946210513,-19529.844998433404
1.9999999999999998e-05,-0.4965492832426005,0.021152974287247845,-14687.658632528288,-19582.461335777185
2.1e-05,-0.5108377417033616,0.0015535070443959131,-13910.846916340746,-19600.6272603948
2.2e-05,-0.5243703865600521,-0.018048270365089106,-13174.859482203534,-19589.47247755204
2.3e-05,-0.5371869453740337,-0.037625410515153154,-12477.49715982312,-19553.39979436195
2.4e-05,-0.5493249301101009,-0.05715503033044298,-11816.5541017012,-19496.18301303761
2.4999999999999998e-05,-0.5608196582190761,-0.07661772865460675,-11189.864620565517,-19421.0543592312
2.6e-05,-0.5717043116534183,-0.09599708585236064,-10595.334519455835,-19330.7813692421
2.7e-05,-0.5820100206323929,-0.11527923507504045,-10030.961012298507,-19227.733773128242
2.8e-05,-0.5917659625231698,-0.13445249556964065,-9494.844353604001,-19113.941225516348
2.9e-05,-0.6009994688892042,-0.15350705936076373,-8985.193526467636,-18991.142863720834
2.9999999999999997e-05,-0.6097361357693488,-0.17243472364151619,-8500.327742922875,-18860.82968834715
3.1e-05,-0.6179999337465907,-0.19122866219058923,-8038.67505581728,-18724.280713660864
3.2e-05,-0.6258133154680601,-0.20988323004414247,-7598.769036866842,-18582.593754698395
3.2999999999999996e-05,-0.6331973190846073,-0.22839379647215358,-7179.244216522229,-18436.7116245559
3.4e-05,-0.640171666663068,-0.24675660203355856,-6778.83078772841,-18287.444419908632
3.5e-05,-0.646754857043929,-0.2649686361150642,-6396.348931816402,-18135.488481965745
3.6e-05,-0.6529642529142532,-0.2830275319016963,-6030.703018419568,-17981.44253699041
3.7e-05,-0.6588161620726077,-0.3009314761917191,-5680.875853098635,-17825.82144652229
3.7999999999999995e-05,-0.6643259130034456,-0.31867913186388164,-5345.923089177567,-17669.067932706912
3.9e-05,-0.6695079249708843,-0.33626957114014727,-5024.967878764797,-17511.562588211444
3.9999999999999996e-05,-0.6743757728994515,-0.3537022180706048,-4717.195808022256,-17353.63243232123
4.1e-05,-0.678942247342007,-0.37097679890674107,-4421.850140422473,-17195.558234071108
4.2e-05,-0.6832194098500138,-0.38809329923135805,-4138.227376741365,-17037.580788762414
4.2999999999999995e-05,-0.687218644063963,-0.40505192688392305,-3865.673130186581,-16879.90630508785
4.4e-05,-0.6909507028360085,-0.4218530798640074,-3603.5783081056375,-16722.711035548284
4.4999999999999996e-05,-0.6944257516855747,-0.43849731851691603,-3351.375587224837,-16566.14526220175
4.6e-05,-0.6976534088739536,-0.4549853414082041,-3108.5361666504436,-16410.336732430325
4.7e-05,-0.7006427823671625,-0.4713179643805219,-2874.566781409263,-16255.393624824123
4.8e-05,-0.7034025039386745,-0.48749610235965923,-2649.0069587418607,-16101.407113020103
4.9e-05,-0.7059407606457528,-0.5035207535388875,-2431.426499413184,-15948.453585021252
4.9999999999999996e-05,-0.7082653238955536,-0.519392985623508,-2221.4231667713734,-15796.596566842916
5.1e-05,-0.7103835763002168,-0.5351139238623874,-2018.6205670200527,-15645.888392022292
5.2e-05,-0.7123025365040557,-0.550684740631452,-1822.6662050671227,-15496.37165236218
5.3e-05,-0.7140288821508082,-0.5661066463666586,-1633.229701298853,-15348.080460075227
5.4e-05,-0.7155689711447683,-0.5813808816717411,-1450.0011556489012,-15201.041547095037
5.4999999999999995e-05,-0.7169288613465126,-0.5965087104497783,-1272.689646351123,-15055.275223595996
5.6e-05,-0.7181143288318272,-0.6114914139279646,-1101.0218517579144,-14910.796214606482
5.6999999999999996e-05,-0.719130884831319,-0.6263302854623953,-934.7407845563364,-14767.614390919909
5.8e-05,-0.7199837914579884,-0.6410266260246548,-773.6046286125732,-14625.735408229346
5.9e-05,-0.720678076320714,-0.655581740284871,-617.3856695161163,-14485.161266471277
5.9999999999999995e-05,-0.7212185461130733,-0.6699969332169934,-465.86931067628467,-14345.890799709507
6.1e-05,-0.721609799259158,-0.6842735071616189,-318.8531675453373,-14207.920105477202
6.2e-05,-0.7218562376909609,-0.69841275928996,-176.146233206067,-14071.24292128641
6.3e-05,-0.7219620778254697,-0.7124159794196958,-37.5681091698514,-13935.850954978976
6.4e-05,-0.7219313608037415,-0.726284448139648,97.05170421321273,-13801.734174704574
6.5e-05,-0.7217679620488957,-0.7400194352055959,227.87446282386642,-13668.881063548279
6.599999999999999e-05,-0.7214756001951176,-0.7536221981742146,355.05278395362035,-13537.278843173412
6.7e-05,-0.7210578454353526,-0.7670939812461823,478.7312058066393,-13406.913670279488
6.8e-05,-0.7205181273313591,-0.7804360142930414,599.0467051545997,-13277.770809186697
6.9e-05,-0.7198597421261396,-0.7936495120454816,716.1291766302389,-13149.834783436358
7e-05,-0.7190858595954468,-0.8067356734234079,830.1018768321732,-13023.089508931535
7.099999999999999e-05,-0.7181995294720417,-0.8196956809905114,941.0818361296726,-12897.518410825589
7.2e-05,-0.7172036874736224,-0.8325307005181197,1049.18024079877,-12773.10452609176
7.3e-05,-0.7161011609628374,-0.8452418806449128,1154.502787887854,-12649.830593468347
7.4e-05,-0.7148946742655087,-0.8578303526206685,1257.1500149995095,-12527.679132266469
7.5e-05,-0.7135868536711033,-0.8702972301235987,1357.2176069837158,-12406.632511346586
7.599999999999999e-05,-0.7121802321375897,-0.8826436091420524,1454.7966813637433,-12286.673009412309
7.7e-05,-0.7106772537210754,-0.8948705679124435,1549.9740541584567,-12167.78286763233
7.8e-05,-0.7090802777490336,-0.906979166906202,1642.8324876217027,-12049.944335480981
7.9e-05,-0.7073915827544763,-0.9189704488593858,1733.4509212896228,-11933.139710582578
7.999999999999999e-05,-0.7056133701870992,-0.9308454388393248,1821.9046876088103,-11817.351373252424
8.099999999999999e-05,-0.7037477679162089,-0.9426051443433172,1908.265713311084,-11702.56181634644
8.2e-05,-0.7017968335391283,-0.9542505554249757,1992.6027076032387,-11588.753670960266
8.3e-05,-0.6997625575077535,-0.9657826448443252,2074.981338151527,-11475.90972845627
8.4e-05,-0.6976468660849984,-0.9772023682382048,2155.4643957599787,-11364.012959241907
8.499999999999999e-05,-0.6954516241420013,-0.9885106643079252,2234.1119485682216,-11253.04652867449
8.599999999999999e-05,-0.6931786378061813,-0.9997084550214821,2310.98148652753,-11142.993810424774
8.7e-05,-0.6908296569694983,-1.0107966458279425,2386.1280568528173,-11033.838397594125
8.8e-05,-0.6884063776656101,-1.0217761258818945,2459.6043910925982,-10925.564111846768
8.9e-05,-0.6859104443239982,-1.0326477682761,2531.461024408107,-10818.155010789304
8.999999999999999e-05,-0.6833434519085703,-1.0434124302807046,2601.746407606333,-10711.595393803615
9.099999999999999e-05,-0.6807069479477242,-1.054070953587558,2670.5070124292624,-10605.869806516368
9.2e-05,-0.6780024344623754,-1.0646241645583647,2737.7874305627865,-10500.963044067857
9.3e-05,-0.6752313697980059,-1.0750728744755418,2803.6304667931845,-10396.860153324928
9.4e-05,-0.6723951703663822,-1.0854178797947978,2868.0772267065277,-10293.546434166654
9.499999999999999e-05,-0.6694952123022079,-1.0956599623985632,2931.1671992965003,-10191.007439957235
9.6e-05,-0.6665328330396283,-1.1057998898495156,2992.938334818768,-10089.228977307925
9.7e-05,-0.6635093328131765,-1.115838415643535,3053.427118204887,-9988.197105218545
9.8e-05,-0.6604259760874521,-1.125776279461513,3112.6686383256897,-9887.898133679197
9.9e-05,-0.6572839929195426,-1.1356142074195117,3170.696653372869,-9788.318621803806
9.999999999999999e-05,-0.6540845802579404,-1.1453529123168418,3227.543652607991,-9689.4453755593
0.000101,-0.6508289031814674,-1.1549930938816801,3283.2409147102207,-9591.265445147093
0.000102,-0.6475180960814984,-1.1645354390139109,3337.818562937536,-9493.766122087292
0.000103,-0.6441532637905646,-1.1739806220249132,3391.3056173009786,-9396.93493605044
0.000104,-0.6407354826602293,-1.183329304874065,3443.7300439374562,-9300.759651476565
0.00010499999999999999,-0.637265801590947,-1.1925821374017704,3495.1188018536886,-9205.228264016905
0.000106,-0.6337452430164522,-1.2017397575588473,3545.4978872019165,-9110.328996829629
0.000107,-0.6301748038450679,-1.210802791632146,3594.8923752369797,-9016.050296757345
0.000108,-0.6265554563601812,-1.2197718544662932,3643.3264600941675,-8922.380830411033
0.00010899999999999999,-0.6228881490819969,-1.2286475496814782,3690.8234925178144,-8829.30948018215
0.00010999999999999999,-0.6191738075925564,-1.2374304698872214,3737.406015661887,-8736.825340202135
0.000111,-0.6154133353258909,-1.2461211968920807,3783.095799075744,-8644.917712266331
0.000112,-0.6116076143250695,-1.2547203019092674,3827.9138709807507,-8553.576101737215
0.000113,-0.6077575059677995,-1.2632283457581595,3871.8805489365136,-8462.790213440097
0.00011399999999999999,-0.6038638516621426,-1.2716458790617091,3915.0154689890533,-8372.549947562818
0.00011499999999999999,-0.5999274735138194,-1.279973442439756,3957.337613387277,-8282.845395569488
0.000116,-0.5959491749664929,-1.2882115666982625,3998.865336948569,-8193.666836137068
0.000117,-0.5919297414163427,-1.2963607730145,4039.6163921491643,-8105.004731122431
0.000118,-0.5878699408021675,-1.3044215731182187,4079.607953010197,-8016.8497215664665
0.00011899999999999999,-0.5837705241721877,-1.3123944694688428,4118.856637845859,-7929.192623740956
0.00011999999999999999,-0.5796322262286524,-1.320279955428733,4157.378530935968,-7842.024425243036
0.000121,-0.5754557658512968,-1.3280785154325716,4195.189203181387,-7755.336281141397
0.000122,-0.5712418466006384,-1.3357906251529184,4232.303731797155,-7669.119510177704
0.00012299999999999998,-0.5669911572020485,-1.3434167516619968,4268.73671909484,-7583.365591026102
0.000124,-0.5627043720114845,-1.3509573535897708,4304.502310402503,-7498.06615861322
0.000125,-0.558382151463721,-1.3584128812783702,4339.614211167762,-7413.2130005005665
0.000126,-0.5540251425038764,-1.3657837769329324,4374.085703286719,-7328.798053330843
0.000127,-0.5496339790029864,-1.3730704747689213,4407.929660698989,-7244.813399339312
0.000128,-0.5452092821583406,-1.380273401155991,4441.158564286695,-7161.251262931064
0.000129,-0.5407516608792586,-1.3873929747584597,4473.784516113074,-7078.104007324703
0.00013,-0.536261712158949,-1.3944296066724609,4505.819253034286,-6995.364131262773
0.00013099999999999999,-0.5317400214330622,-1.4013837005598384,4537.2741597160675,-6913.024265788977
0.00013199999999999998,-0.5271871629255163,-1.408255652778852,4568.160281085054,-6831.077171092077
0.000133,-0.5226036999821472,-1.4150458525117597,4598.488334242917,-6749.515733416191
0.000134,-0.5179901853927067,-1.421754681889345,4628.268719869861,-6668.332962037034
0.000135,-0.5133471617017056,-1.4283825161124513,4657.51153314253,-6587.521986303545
0.000136,-0.5086751615085758,-1.4349297235705922,4686.226574189978,-6507.076052744224
0.000137,-0.5039747077576019,-1.4413966659576993,4714.423358110065,-6426.988522237392
0.000138,-0.4992463140180502,-1.447783698385073,4742.111124567383,-6347.252867244525
0.000139,-0.49449048475490487,-1.454091169491596,4769.298846992677,-6267.862669105727
0.00014,-0.4897077155905984,-1.460319421551276,4795.995241402641,-6188.81161539636
0.00014099999999999998,-0.48489849355810766,-1.4664687905781735,4822.208774857946,-6110.093497343786
0.00014199999999999998,-0.48006329734576875,-1.472539606428776,4847.9476735763965,-6031.702207303145
0.000143,-0.4752025975341468,-1.4785321929018778,4873.219930717221,-5953.631736291064
0.000144,-0.47031685682528207,-1.4844468678360232,4898.033313851643,-5875.876171576151
0.000145,-0.4654065302646189,-1.4902839432045663,4922.395372134078,-5798.429694325117
0.000146,-0.4604720654559096,-1.4960437252084058,4946.313443187583,-5721.286577303365
0.000147,-0.455513902769372,-1.501726514366447,4969.794659716424,-5644.441182628851
0.000148,-0.4505324755433686,-1.507332605603845,4992.845955857997,-5567.887959578037
0.000149,-0.4455282102798607,-1.5128622883380765,5015.474073285722,-5491.621442442761
0.00015,-0.4405015268338813,-1.518315846562898,5037.68556707388,-5415.636248436808
0.00015099999999999998,-0.4354528385972594,-1.5236935589302323,5059.486811334874,-5339.927075651036
0.00015199999999999998,-0.4303825526768191,-1.528995698830034,5080.884004638807,-5264.488701055857
0.000153,-0.4252910700672643,-1.5342225344681826,5101.883175224813,-5189.315978549922
0.000154,-0.4201787858189552,-1.539374328942446,5122.490186013087,-5114.403837053859
0.000155,-0.4150460892007693,-1.5444513403165598,5142.710739426112,-5039.747278647916
0.000156,-0.409893363858235,-1.549453821692467,5162.550382027188,-4965.341376752387
0.000157,-0.404720987967116,-1.5543820212807573,5182.014508983924,-4891.181274349724
0.000158,-0.3995293343826176,-1.5592361824693521,5201.10836836403,-4817.262182247223
0.000159,-0.3943187707843799,-1.564016543890469,5219.837065270347,-4743.579377379224
0.00015999999999999999,-0.38908965981741367,-1.56872333948591,5238.205565821753,-4670.128201147763
0.00016099999999999998,-0.38384235922913196,-1.5733567985707086,5256.218700986231,-4596.9040578006425
0.00016199999999999998,-0.37857722200262006,-1.5779171458951742,5273.881170272104,-4523.902412845892
0.000163,-0.3732945964862842,-1.5824046017053675,5291.197545283162,-4451.118791501639
0.000164,-0.36799482652001164,-1.5868193818020446,5308.172273143105,-4378.548777180385
0.000165,-0.3626782515579704,-1.5911616975981016,5324.809679794505,-4306.188010006755
0.000166,-0.3573452067881714,-1.5954317561745535,5341.113973177223,-4234.032185367762
0.000167,-0.3519960232489114,-1.5996297603350802,5357.089246290987,-4162.077052494677
0.000168,-0.34663102794221,-1.6037559086591684,5372.739480146637,-4090.3184130755944
0.000169,-0.3412505439443502,-1.607810395553883,5388.068546610308,-4018.75211989783
0.00016999999999999999,-0.33585489051362694,-1.611793411304294,5403.080211144642,-3947.374075519279
